ne_name,top_keys
CARDINAL,"[('最新上線電影', [('30', 1), ('6.2億', 1)]), ('電影新聞', [('88億', 1), ('25', 1), ('億萬', 1)]), ('專題報導', [('1.3億', 1), ('10', 1)]), ('影評', [('之一', 1)]), ('第93屆奧斯卡', [('約985萬', 1), ('200', 1)]), ('金馬奇幻影展', [('100', 1), ('4.09-4.18', 1), ('八成', 1)]), ('全部', [('30', 1), ('6.2億', 1), ('88億', 1), ('25', 1), ('億萬', 1), ('1.3億', 1), ('10', 1), ('之一', 1), ('約985萬', 1), ('200', 1), ('100', 1), ('4.09-4.18', 1), ('八成', 1)])]"
DATE,"[('最新上線電影', [('本週五', 2), ('這個週末', 1), ('6月17日', 1), ('今年', 1), ('今日(6月11日', 1), ('11日', 1), ('端午節', 1), ('6/11', 1), ('一個月', 1), ('6月28日', 1), ('6月10日', 1)]), ('電影新聞', [('11年', 2), ('去年', 2), ('2010年', 1), ('一年後', 1), ('22歲', 1), ('18日', 1), ('5月21日', 1), ('前年', 1), ('今年3月', 1), ('7月初', 1), ('一年多', 1), ('26年', 1), ('昨（17）日', 1), ('本日', 1), ('今年秋冬', 1), ('51歲', 1), ('5歲', 1), ('50歲', 1), ('10年', 1), ('9月3日', 1)]), ('專題報導', [('本週', 2), ('今年', 1), ('20年', 1), ('2006年', 1), ('2001年', 1), ('6/10-6/16', 1), ('多年後', 1), ('35週年', 1), ('23歲', 1), ('6/3-6/9', 1), ('父親節', 1), ('6月20日', 1), ('6月', 1)]), ('影評', [('1個星期', 1), ('1970年', 1), ('今年', 1), ('12年', 1), ('2004年', 1)]), ('第93屆奧斯卡', [('今年', 4), ('73歲', 4), ('83歲', 2), ('26日', 2), ('去年', 2), ('2年', 2), ('1957年', 2), ('今日', 2), ('63年', 2), ('35年前', 1), ('102年', 1), ('55年', 1), ('2021年', 1), ('今天', 1)]), ('金馬奇幻影展', [('今年', 5), ('今天', 2), ('一年', 2), ('四月天', 1), ('4/11）', 1), ('4/10', 1), ('昨日', 1), ('5月1日', 1), ('當天', 1), ('首映日', 1), ('本週', 1), ('週日', 1), ('4月8日', 1), ('3/28', 1), ('今年4月17日', 1), ('4月2日', 1), ('日前', 1), ('18年', 1), ('6月5日', 1)]), ('全部', [('今年', 12), ('去年', 4), ('73歲', 4), ('本週', 3), ('今天', 3), ('本週五', 2), ('11年', 2), ('83歲', 2), ('26日', 2), ('2年', 2), ('1957年', 2), ('今日', 2), ('63年', 2), ('一年', 2), ('這個週末', 1), ('6月17日', 1), ('今日(6月11日', 1), ('11日', 1), ('端午節', 1), ('6/11', 1), ('一個月', 1), ('6月28日', 1), ('6月10日', 1), ('2010年', 1), ('一年後', 1), ('22歲', 1), ('18日', 1), ('5月21日', 1), ('前年', 1), ('今年3月', 1), ('7月初', 1), ('一年多', 1), ('26年', 1), ('昨（17）日', 1), ('本日', 1), ('今年秋冬', 1), ('51歲', 1), ('5歲', 1), ('50歲', 1), ('10年', 1), ('9月3日', 1), ('20年', 1), ('2006年', 1), ('2001年', 1), ('6/10-6/16', 1), ('多年後', 1), ('35週年', 1), ('23歲', 1), ('6/3-6/9', 1), ('父親節', 1), ('6月20日', 1), ('6月', 1), ('1個星期', 1), ('1970年', 1), ('12年', 1), ('2004年', 1), ('35年前', 1), ('102年', 1), ('55年', 1), ('2021年', 1), ('四月天', 1), ('4/11）', 1), ('4/10', 1), ('昨日', 1), ('5月1日', 1), ('當天', 1), ('首映日', 1), ('週日', 1), ('4月8日', 1), ('3/28', 1), ('今年4月17日', 1), ('4月2日', 1), ('日前', 1), ('18年', 1), ('6月5日', 1)])]"
EVENT,"[('最新上線電影', []), ('電影新聞', [('威尼斯影展', 1)]), ('專題報導', []), ('影評', [('坎城影展', 1), ('金馬奇幻影展', 1)]), ('第93屆奧斯卡', [('第93屆奧斯卡頒獎典禮', 3), ('第93屆頒獎典禮', 2), ('奧運', 1), ('奧斯卡獎頒獎典禮', 1)]), ('金馬奇幻影展', [('金馬奇幻影展', 11), ('奇幻影展', 2), ('2021金馬奇幻影展', 2), ('金馬影展', 2), ('芝加哥亞洲躍動影展', 1)]), ('全部', [('金馬奇幻影展', 12), ('第93屆奧斯卡頒獎典禮', 3), ('第93屆頒獎典禮', 2), ('奇幻影展', 2), ('2021金馬奇幻影展', 2), ('金馬影展', 2), ('威尼斯影展', 1), ('坎城影展', 1), ('奧運', 1), ('奧斯卡獎頒獎典禮', 1), ('芝加哥亞洲躍動影展', 1)])]"
FAC,"[('最新上線電影', [('映後講堂', 1)]), ('電影新聞', [('TCL中國劇院', 1)]), ('專題報導', []), ('影評', []), ('第93屆奧斯卡', []), ('金馬奇幻影展', []), ('全部', [('映後講堂', 1), ('TCL中國劇院', 1)])]"
GPE,"[('最新上線電影', [('日本', 4), ('東京', 3), ('台灣', 2), ('韓國', 1), ('香港', 1), ('福岡', 1), ('關西', 1)]), ('電影新聞', [('台灣', 2), ('洛杉磯', 1), ('美國', 1), ('日本', 1), ('中國', 1)]), ('專題報導', [('韓風', 1), ('美國', 1), ('日本', 1)]), ('影評', [('魁北克法語區', 1), ('洛杉磯', 1), ('韓國', 1)]), ('第93屆奧斯卡', [('南韓', 14), ('臺灣', 2), ('中國', 1), ('美國', 1), ('查德維克博斯曼', 1), ('丹麥', 1), ('台灣', 1), ('韓國', 1), ('釜山', 1), ('洛杉磯', 1)]), ('金馬奇幻影展', [('台灣', 5), ('金馬', 2), ('台劇', 1), ('香港', 1)]), ('全部', [('南韓', 14), ('台灣', 10), ('日本', 6), ('韓國', 3), ('東京', 3), ('洛杉磯', 3), ('美國', 3), ('香港', 2), ('中國', 2), ('臺灣', 2), ('金馬', 2), ('福岡', 1), ('關西', 1), ('韓風', 1), ('魁北克法語區', 1), ('查德維克博斯曼', 1), ('丹麥', 1), ('釜山', 1), ('台劇', 1)])]"
LANGUAGE,"[('最新上線電影', [('流利台語', 1), ('台語', 1)]), ('電影新聞', []), ('專題報導', []), ('影評', []), ('第93屆奧斯卡', [('中文', 1)]), ('金馬奇幻影展', []), ('全部', [('流利台語', 1), ('台語', 1), ('中文', 1)])]"
LAW,"[('最新上線電影', []), ('電影新聞', []), ('專題報導', []), ('影評', []), ('第93屆奧斯卡', []), ('金馬奇幻影展', []), ('全部', [])]"
LOC,"[('最新上線電影', [('亞洲', 1)]), ('電影新聞', [('亞洲', 1)]), ('專題報導', []), ('影評', []), ('第93屆奧斯卡', [('中歐', 1)]), ('金馬奇幻影展', []), ('全部', [('亞洲', 2), ('中歐', 1)])]"
MONEY,"[('最新上線電影', [('400億日幣', 1)]), ('電影新聞', [('10億日圓', 1), ('2.6億元', 1)]), ('專題報導', [('50億美元', 1)]), ('影評', [('2萬5千美元', 1), ('1億美金', 1), ('120萬美金', 1)]), ('第93屆奧斯卡', []), ('金馬奇幻影展', [('850萬台幣', 1)]), ('全部', [('400億日幣', 1), ('10億日圓', 1), ('2.6億元', 1), ('50億美元', 1), ('2萬5千美元', 1), ('1億美金', 1), ('120萬美金', 1), ('850萬台幣', 1)])]"
NORP,"[('最新上線電影', [('日本', 5), ('泰國', 2), ('台灣', 1), ('中國', 1)]), ('電影新聞', []), ('專題報導', [('香港', 1)]), ('影評', [('台北人', 1)]), ('第93屆奧斯卡', [('韓國', 7), ('亞洲', 3), ('日本', 2), ('韓國人', 1), ('韓裔', 1), ('亞裔', 1)]), ('金馬奇幻影展', [('台灣', 2), ('金馬', 1), ('法國', 1)]), ('全部', [('日本', 7), ('韓國', 7), ('台灣', 3), ('亞洲', 3), ('泰國', 2), ('中國', 1), ('香港', 1), ('台北人', 1), ('韓國人', 1), ('韓裔', 1), ('亞裔', 1), ('金馬', 1), ('法國', 1)])]"
